1032791691332382720;"rt lucyleos2 kaysardadour vai servir lanche mcdiafeliz  no dia 2508  vão ser lanches bem totosos para vcs URL";"positiva"
1032976494765723648;"luciferonnetflix URL";"neutra" 
1032665374372913152;"rt awmhfoundation help us support those in need by volunteering your time and you could win metallica tickets URL";"neutra"
1034525629901942784;"lsramos toda vez que me chama de gay de forma pejorativa URL";"negativa"
1033807488984866816;"14 hour freezing does it make sense URL";"negativa"
1033018846439866368;"rt musixmatch here to help you elonmusk  URL";"positiva"
1032791445978193920;"kaysardadour vai servir lanche mcdiafeliz  no dia 2508  vão ser lanches bem totosos para vcs URL";"positiva"
1033799051458764800;"rt itsjimminie siempre es lo mismo army no se esmera en las visualizaciones para que vengas y nos digas que son views falsas ytunfre…";"negativa"
1034673221889474560;"rt glamandgore to update URL";"neutra"
1034872414579118082;"i can’t wait to see this URL";"positiva"
1032804533552865281;"lol wat URL";"neutra"
1033392729059930112;"URL";"neutra";"neutra"
1034873116701483008;"ah tá URL";"neutra"
1033394229115080705;"maldição URL";"negativa"
1035326899835334657;"boa kimkataguiri  gostei da análise URL";"positiva"
1035642052644679680;"awesome guitar music URL";"positiva"
1034129459635527680;"e o que tem o cu com as calças URL";"negativa"
1035574128554778625;"URL";"neutra"
1034500841472970752;"fresh linux applications on demand ubuntu URL";"neutra"
1034128601417842688;" what URL";"neutra"
1035509496724910081;"rt elonbachman tesla making miracles out of the ordinary reminds me of the quip that capitalism turns luxuries into commodities wher…";"negativa"
1035622106891997185;"it was great to be part of this awesome launch of the developer student clubs program in subsaharan africa check out the video recapping what the experience was like for 2 days in nigeria dscssa URL";"positiva"
1033821946079793153;"rt dope007 yes far too many frauds out there taking peoples pensions for a ride tsla URL";"negativa"
1034874374766178304;"awscloud posted URL";"neutra"
1033392111222251521;"eita crl URL";"neutra"
1033395619656810499;" URL";"neutra"
1034080298173165569;"🎶 all that is was and will be universe much too big to see time and space never ending disturbing thoughts questions pending limitations of human understanding too quick to criticize obligation to survive we hunger to be alive yeah🎶 URL";"positiva"
1033237380747145216;"mulhertamarindo URL";"neutra"
1035326183305621505;"quem é o gato e quem é o channing URL";"neutra"
1034128811204505600;"fuck u URL";"negativa"
1032795302871425029;"eu atualmente URL";"neutra"
1033820700128276480;"follow the money mais grave que crime eleitoral sigam o dinheiro que pagam estes “influenciadores” e  verão corrupção na origem dele URL"
1032792581728555008;"nosso kaysar URL"
1032885169773064194;"impressive URL"
1034871703548162048;"cara tou feliz kkk 5 URL";"positiva"
1035281390437367811;"quem vamo cmg URL";"positiva"
1035758989592518658;"still  URL";"neutra"
1032774875629465607;"maga URL";"neutra"
1034499101008846850;"gonna start saying “v cool” now URL";"neutra"
1034529027984433152;"não mentiu URL";"neutra"
1034218312001978368;"alsalihifahad ur pc URL";"neutra"
1034085087980216322;"nnnnnnnnnnever URL";"negativa"
1035478156042559489;"isso ñ é um lanche é uma obra de arte URL";"positiva"
1034124870035103744;"new today  amazon rds on vmware will make it as easy to set up operate and scale databases onpremises and in hybrid environments as it is in aws URL";"positiva"
1032802944763211776;"we out hereeee 👽👽 URL";"positiva"
1032774410980052992;"pru14 up thaicaverescue URL";"neutra"
1035574576288358401;" URL";"neutra"
1033377608199589888;"bangez URL";"neutra"
1034124408300949504;"vai pro inferno esse povo eles não tem mais o que fazer URL";"negativa"
1034875998314156032;"thank you ❤️👌 URL";"positiva"
1032521905092194304;"rt krishjlk 2 mins silence for root users URL";"positiva"
1033803345755025409;"thought so URL";"neutra"
1034123362367225856;"aws and vmware announce amazon rds on vmware URL";"neutra"
1034079762958954496;"all that is never ever was twis ting tur ning troughthe never URL";"positiva"
1034869881097932800;"microsoft posted URL";"neutra"
1032793836244873216;"quem é seu deputado o meu estava correndo atrás de um brasil melhor kim  URL";"positiva"
1033784830922649600;"📸 jesseleon182 nationaldogday toyotadog wakandaforever URL";"positiva"
1034527305081790465;"os revolucionários do dce da universidade regional do cariri se comportam como crianças birrentas que rabiscam paredes de propósito tenho certeza que marx se revira no túmulo ao constatar que a nova geração de revolucionários não passa de um bando de catar (...)";"negativa"
1033239371380678658;"mas meu amigo enzotcarvalho tá dormindo URL";"neutra"
1033804313838186499;"another mass shooting in america 😆 URL";"negativa"
1034873540984614913;"essa é a segunda colocada segundo as “pesquisas”🤦🏻‍♀️ URL";"negativa"
1033238518527655936;"rt jenioquadros mulhertamarindo URL";"neutra"
1033748794830200832;"rt jeonsnat my lungs URL";"neutra"
1032804471712227329;"go local all cars need repair they are cars URL";"neutra"
1034874755634085889;"nigga can y’all make gta vi i was a freshman in high school when v came out URL";"neutra"
1033746404886294528;"wth hahahahahaha URL";"positiva"
1033821534782193664;"leiam a matéria p desmascarar mais um petista👇👇👇 URL";"negativa"
1035286952336142337;"pq não tem um blog aqui perto de casa  😢😢 URL";"negativa"
1033235944130924544;"está explicado pq n dormi URL";"negativa"
1034862300383985664;"i love this song🙌🏼💜💙 URL";"positiva"
1035573330714214400;"billy gibbon’s voice sounds like gravel being grated URL";"negativa"
1034125972675719169;"até o congresso está dormindo pela petezada nãonegocieseuvoto URL";"negativa"
1034512165930237953;"meu deus URL";"neutra"
1034099731499233281;"rt ubisoftbrasil nossas mais profundas condolências vão às vítimas e às famílias da tragédia de ontem nós estamos com jacksonville com…";"negativa"
1034869921505845249;"outlook posted URL";"neutra"
1032775063538491394;"twitter posted URL";"neutra"
1034871334520676352;"muito óbvio saber qual é a estação boa e qual é a estação ruim eu acho que poderiam ser chamadas assim até hoje URL";"negativa"
1033930307475525633;"krl o telecine ama muito o tom URL";"positiva"
1034124303837609984;"terminar minha leitura 50 tons de cinza pelo olhos de christian grey URL";"positiva"
1032745949628649472;"la noche me está quedando muy skynyrd completísimo repaso de la icónica banda a disfrutar southernrock URL";"positiva"
1032795007369994245;"anime  URL";"neutra"
1033018952220397568;"hell yes URL";"positiva"
1034096463301632000;"rt painefultruths elon musk supports pedoglobalism URL";"negativa"
1034489211049660416;"rt nixcraft amd is getting ready for 7nm cpu and gpu i am so glad that someone is finally standing up to the intel  URL";"positiva"
1033734180268638208;"pls say sike skdkdnsn URL";"neutra"
1035263683138650112;"rt lisamarie61 have you seen the pic of my truck well thats about what i look like concussion head trauma broken clavicle br…";"negativa"
1034517756501282817;"eu quero isso aqui pra ontemmmmmm  URL";"positiva"
1034526529571749889;"o amor não precisa de legenda  URL";"positiva"
1035344441605808128;"burgerkingbr acabando com a minha dieta que nem começou 🤤 URL";"positiva"
1033734250510471168;"twitter stays knowing URL";"negativa"
1035909427419918336;"joseph and his amazing technicolour dreamcoat URL";"positiva"
1033018316984647680;"absolutely pitch perfect writer for this character damn URL";"positiva"
1033020780697665537;"rt cbcebulski thrilled to finally announce the creative team on conan URL";"positiva"
1033810162295992320;"que les parece esta respuesta de yt

mpn btsarmy bts⁠ btstwt URL";"neutra"
1034870552639488000;"foi o sandyejunior q inventou URL";"neutra"
1032798276083429377;"rt loadcomics estamos com asas hoje URL";"positiva"
1034530821909225478;"rt ericbalbinus os revolucionários do dce da universidade regional do cariri se comportam como crianças birrentas que rabiscam paredes de…";"negativa"
1035291627923890177;"meu ritual antes de comer é comer URL";"positiva"
1033011521339752448;"rt musixmatch here to help you elonmusk  URL";"positiva"
1033389874898862080;"wadefaker URL";"neutra"
1033805661061230592;"rt apazamariel andinitachimi bangtanplola btstwt URL";"neutra"
1034861533371813889;"amen URL";"positiva"
1033821210033958918;"dude just shut up URL";"negativa"
1035574706362089472;"esse é o meu sonho URL";"positiva"
1032804262185783296;"army owns twitter wbk URL";"negativa"
1034875112338677760;"stop the updates give us the next gta URL";"negativa"
1032968240241299456;"rt saveshplease saveshadowhunters made the list i’m so proud ❤️ URL";"positiva"
1034868549108555785;"jadriantalks you get this yet URL";"positiva"
1035279060379856896;"por favor URL";"neutra"
1033263331254169601;"tsla URL";"neutra"
1034947560170053633;"🤗🤗💞💞 URL";"positiva"
1033369697398358016;"waaa ada army dinotice twitter URL";"positiva"
1033286285694251008;" URL";"neutra"
1034532251340496896;"smh gta always trying to take my money URL";"negativa"
1035016821651517440;"rt teneetoe see young africans building the future africa through technologyproudly a developer student club lead  guys see highlight…";"positiva"
1033765587422511106;"im old URL";"neutra"
1035644884147793920;"rt ericakhanson it was great to be part of this awesome launch of the developer student clubs program in subsaharan africa check out th…";"positiva"
1035281595886968832;"twitter posted 
URL";"neutra"
1032801658248548353;"️ URL";"neutra"
1034874842888265728;"i don’t know if i will fall in love with ben hardy like i fell in love with roger decades ago but i will give it a try in november URL";"positiva"
1034988126152871936;"💖this bonjovi always inspires URL";"positiva"
1034129388277850112;"kkkkkkkkkkkkk URL";"positiva"
1032783183371100160;"❤️ URL";"positiva"
1034128858847604739;"morri  URL";"neutra"
1035314571274330112;"quem quiser aparecer aqui em casa com um desse eu faço qualquer coisa URL";"positiva"
1033817163814117376;"bad takes from cool people are why twitter was a mistake i will die on this hill URL";"negativa"
1033731131072552961;"esse é o brasileiro esperto mas a culpa dessas maracutaias é da esquerda cria lei em cima de lei dando direitos sem pensar nas consequências  exemplo claro são as empregadas domésticas ficaram brigando por milhões de direitos  levaram URL";"negativa"
1032802390548914181;"ó o dequete ai URL";"neutra"
1032803614513946624;"rt jrobbo moreplanetsthanstars URL";"neutra"
1035572482479214593;"tendo em vista que você é candidato a deputado e seu partido está coligado com geraldoalckmin não ficou claro se você vai votar nele para presidente poderia esclarecer URL";"negativa"
1033237243396333569;"needlesz xlucas freeth viniiispfc edenhazxrd tricolorm1lgr4u arthurmattheus URL";"neutra"
1034522116652187648;"eu amo um homem URL";"positiva"
1033817275965599751;"natychaly o job das nossas vidas URL";"positiva"
1034129484503494661;"e eu sou contra até pra você tentar assumir um cargo público  pra pqp URL";"negativa"
